Type,Line,Space,ID,Origin,InitialOrigin,Reference1,Reference2,Reference3,Tags,Roles,MaxUnauthorised,NumberReference1,NumberReference2,NumberReference3
Image,54,1,10dbd22a-3df5-45a2-9acb-3a2aa13c4922,Achter%20Drempt%2002.jpg,,achter-drempt,,,,,-1,54,,
Image,57,1,522d7ae9-fd52-4281-882d-41f93f710668,Achterwehl%2001.jpg,,achterwehl,,,,,-1,57,,
Image,71,1,4fdeca8a-8477-498a-813a-1505c7641689,Aerdt%2001.jpg,,aerdt,,,,,-1,71,,
Image,73,1,d2a14064-321c-4b8d-88de-7ec13827601f,Afferden%20(Gld)%20%2003.jpg,,afferden-(gld),,,,,-1,73,,
Image,74,1,68c819b4-04d4-4a2a-a366-b0ac72ee7518,Afferden%20(Gld)%2002.jpg,,afferden-(gld),,,,,-1,74,,
Image,606,1,052ed12f-9de8-4554-b304-0722076ef25c,Beek%20(NBr)%2007.jpg,,beek-(nbr),,,,,-1,606,,
Image,1215,1,6e3a9982-9836-4b18-963f-18101723d32a,Camperduin%2001.jpg,,camperduin,,,,,-1,1215,,
Image,1392,1,76745f9b-7789-43fe-ba7b-811859d7a320,De%20Zilk%2004.jpg,,de-zilk,,,,,-1,1392,,
Image,1393,1,891a3385-6d12-4b20-a3c3-448611074927,De%20Zilk%2005.jpg,,de-zilk,,,,,-1,1393,,
Image,1394,1,335d3cbc-0aa8-4e67-bf44-aea8a97824d6,De%20Zilk%2006.jpg,,de-zilk,,,,,-1,1394,,
Image,1476,1,c62f1a33-0853-44dd-ab05-eda4da0864ae,Den%20Ham%20(GN)%2001.jpg,,den-ham-(gn),,,,,-1,1476,,
Image,2432,1,f1d72564-76e2-4f3b-af2d-26918a5ab403,Gracht%2003.jpg,,gracht,,,,,-1,2432,,
Image,2485,1,7b6a647e-7d33-47eb-a3d1-74ecdd6c4eb6,Groesbeek%2012.jpg,,groesbeek,,,,,-1,2485,,
Image,2486,1,8d13a42c-4fb3-43bd-b49c-9a86b3d90f4d,Groesbeek%2013.jpg,,groesbeek,,,,,-1,2486,,
Image,3025,1,6b5a07f3-db6c-4b40-903d-6f0a562c0da0,Hengelo%20(Gld)%2003.jpg,,hengelo-(gld),,,,,-1,3025,,
Image,3137,1,f28b3322-d007-4286-ad74-8782af4a0bf5,Hillegersberg%2003.jpg,,hillegersberg,,,,,-1,3137,,
Image,3698,1,96c8a08e-e965-4ce3-ba42-639c3d1edb31,Klazienaveen%2003.jpg,,klazienaveen,,,,,-1,3698,,
Image,4315,1,599a228a-4b40-43b2-a37a-3882ab88e006,Marsum%2001.jpg,,marsum,,,,,-1,4315,,
Image,4316,1,4c03e748-24dd-4b80-b16a-8df7dfaa9bc0,Marsum%2002.jpg,,marsum,,,,,-1,4316,,
Image,5874,1,15169209-f340-417d-a2cf-d05341604029,Rotterdam%2031.jpg,,rotterdam,,,,,-1,5874,,
Image,6264,1,130e3fb4-dbe8-4948-bf7d-824cf433a039,Schoonebeek%2001.jpg,,schoonebeek,,,,,-1,6264,,
Image,6265,1,7bef642d-a43a-4327-98a1-1c48c4eb8585,Schoonebeek%2002.jpg,,schoonebeek,,,,,-1,6265,,
Image,6290,1,147dd83f-ff2c-4aca-8cdb-c131b4a1c743,Schweikhuizen%2001.jpg,,schweikhuizen,,,,,-1,6290,,
Image,6405,1,cbb697f1-c6cc-41d4-8db5-fa2b054bbad7,Sint-Michielsgestel%2009.jpg,,sint-michielsgestel,,,,,-1,6405,,
Image,7717,1,b03eb8ae-4399-4583-b5f2-5f5de1f130ce,Westerbroek%2001.jpg,,westerbroek,,,,,-1,7717,,
Image,8076,1,55a76dca-dfd0-4cb6-a2f5-c271729a5097,Zevenaar%2003.jpg,,zevenaar,,,,,-1,8076,,
Image,8122,1,50b69ff5-4319-4d85-a99f-8a74187ce5fa,Zoelen%2001.jpg,,zoelen,,,,,-1,8122,,